East Carolina,3.23,.293,.334,.514,49.8,66.0,8.8,10.2,.481,16.1,28.0,.209
East Tennessee State,1.19,.315,.409,.542,52.7,47.8,11.2,6.4,.516,17.9,31.0,.215
Eastern Illinois,-5.33,.252,.359,.496,48.1,49.1,10.4,8.3,.473,16.6,27.7,.166
Eastern Kentucky,-7.42,.240,.422,.536,47.8,52.7,14.8,9.1,.514,14.0,29.0,.167
Eastern Michigan,2.59,.316,.396,.509,48.4,43.2,12.7,7.8,.466,16.0,27.1,.240
Eastern Washington,-3.06,.271,.409,.555,49.7,52.3,5.9,8.0,.524,14.5,23.5,.206
Elon,-2.72,.333,.433,.504,47.9,47.4,8.0,4.0,.462,16.7,20.5,.242
Evansville,-3.74,.280,.524,.545,46.4,55.5,7.5,7.7,.519,15.9,19.5,.196
Fairfield,-5.02,.282,.366,.480,50.0,48.5,7.1,5.6,.448,16.8,27.2,.193
Fairleigh Dickinson,-3.31,.320,.340,.539,47.7,43.6,10.9,10.1,.511,17.9,28.6,.221
Florida A&M,-1.24,.290,.292,.506,47.9,48.6,10.4,6.1,.483,20.5,27.6,.185
Florida Atlantic,-4.30,.261,.405,.567,56.7,50.1,10.9,9.2,.550,15.6,37.0,.175
Florida Gulf Coast,-4.57,.237,.458,.514,50.9,51.6,11.2,11.2,.494,18.2,31.8,.155
Florida International,-4.01,.249,.513,.548,47.1,56.7,12.3,10.1,.528,16.6,26.8,.172
Florida State,8.66,.332,.366,.573,54.1,53.6,10.6,14.6,.542,17.3,35.8,.243
Florida,9.47,.339,.331,.569,50.8,46.5,10.5,16.2,.536,17.0,31.3,.250
Fordham,5.68,.271,.417,.442,43.7,61.4,9.8,7.2,.411,18.7,21.0,.176
Fresno State,-2.32,.374,.390,.513,52.0,43.9,10.7,10.0,.486,18.3,31.8,.236
Furman,-1.51,.298,.455,.599,51.2,58.8,12.1,9.1,.575,15.6,27.8,.218
Gardner-Webb,-4.14,.311,.444,.540,49.0,56.8,7.9,15.0,.515,15.8,26.3,.210
George Mason,1.55,.290,.371,.508,50.9,49.7,10.0,11.7,.489,16.7,30.4,.177
George Washington,-1.32,.374,.340,.548,50.7,46.3,9.2,8.2,.513,18.4,27.6,.264
Georgetown,8.74,.252,.399,.524,53.7,52.8,6.7,10.5,.494,17.7,31.0,.185
Georgia Southern,-4.93,.311,.397,.539,52.8,46.7,12.8,10.9,.519,17.5,33.4,.200
Georgia State,-0.40,.313,.373,.561,49.0,54.9,10.6,12.8,.544,13.6,30.0,.202
Georgia Tech,6.87,.288,.393,.556,47.1,59.1,12.7,10.1,.528,14.2,24.1,.207
Georgia,5.75,.324,.315,.541,51.8,53.3,11.0,5.6,.514,19.2,36.1,.219
Gonzaga,2.15,.366,.324,.631,56.1,56.4,11.0,7.5,.607,14.0,32.1,.267
