Elon,-3.90,.434,.418,.525,50.0,43.5,10.3,10.2,.494,16.8,22.5,.279
Evansville,0.34,.343,.303,.597,54.3,44.6,8.2,9.0,.575,16.6,23.8,.238
Fairfield,-5.40,.307,.338,.534,49.1,49.8,8.6,8.6,.509,14.3,25.5,.207
Fairleigh Dickinson,-3.89,.343,.377,.559,52.5,58.2,9.9,9.2,.532,16.6,33.4,.236
Florida A&M,-4.27,.296,.352,.510,51.7,51.1,10.6,6.1,.487,18.1,33.5,.189
Florida Atlantic,-4.88,.326,.365,.525,43.8,46.2,7.6,6.6,.493,17.8,23.1,.228
Florida Gulf Coast,-5.75,.254,.375,.495,48.8,46.5,9.7,10.4,.467,17.9,28.9,.175
Florida International,-3.91,.336,.320,.558,53.3,46.4,9.4,8.4,.527,19.6,31.2,.240
Florida State,9.84,.344,.405,.518,45.7,51.1,9.0,6.5,.475,17.1,28.5,.255
Florida,10.29,.365,.337,.509,49.0,51.2,10.4,8.3,.472,17.9,31.1,.250
Fordham,5.06,.285,.476,.545,56.9,66.3,10.4,9.1,.521,16.9,31.6,.196
Fresno State,-0.84,.322,.390,.536,47.0,46.7,10.3,8.5,.498,17.9,25.3,.240
Furman,-1.41,.307,.395,.518,48.2,53.1,10.2,9.1,.496,19.1,26.4,.194
Gardner-Webb,-5.47,.368,.410,.527,50.4,55.4,8.3,10.0,.485,15.9,28.0,.269
George Mason,2.03,.289,.357,.529,48.5,44.8,9.6,6.9,.497,18.0,25.2,.210
George Washington,-0.98,.267,.359,.535,49.2,56.1,10.2,9.2,.512,15.6,28.5,.182
Georgetown,10.30,.270,.380,.514,46.7,56.9,12.2,8.2,.487,13.6,27.1,.187
Georgia Southern,-5.79,.313,.393,.530,48.9,45.1,10.2,7.9,.495,20.5,28.2,.226
Georgia State,-3.68,.337,.407,.515,49.7,47.9,8.2,7.4,.481,18.2,32.1,.233
Georgia Tech,8.95,.283,.346,.547,53.2,56.4,7.6,8.0,.520,19.6,29.3,.202
Georgia,8.21,.317,.380,.546,48.6,48.1,10.9,10.4,.516,19.1,31.5,.225
Gonzaga,2.92,.271,.348,.502,44.1,45.6,7.9,6.7,.471,18.6,23.5,.192
Grambling,-10.50,.377,.383,.497,51.6,64.3,10.7,12.3,.463,17.3,30.5,.247
Grand Canyon,-7.03,.287,.439,.478,43.3,48.8,8.4,4.4,.442,16.2,21.3,.203
Green Bay,-3.54,.323,.345,.566,52.5,45.4,8.1,6.9,.534,14.9,29.6,.236
Hampton,-8.51,.356,.378,.527,54.0,51.7,9.1,8.2,.493,15.0,31.8,.246
Hartford,-5.68,.251,.399,.503,51.6,49.2,8.1,11.2,.482,18.1,28.8,.161
Harvard,,,,,,,,,,,,
Hawaii,-3.02,.286,.300,.513,47.5,42.1,9.4,6.9,.480,15.4,25.3,.206
High Point,-7.60,.335,.449,.553,48.8,56.8,9.3,11.0,.526,17.7,27.9,.229
