0.409	0.351	0.516	45.9	50.3	7.1	7.2	0.468	22.9	22.6	0.295
0.396	0.361	0.536	52.5	57.3	9.2	12.5	0.503	17.5	32	0.268
0.307	0.469	0.538	46.9	54.8	8.8	7.9	0.51	17.9	22.8	0.212
0.286	0.464	0.525	49.3	54.7	10.2	7.9	0.5	16.5	23.5	0.193
0.388	0.23	0.489	49.2	51.4	11.1	7.5	0.45	18.8	32	0.258
0.351	0.356	0.545	54.3	49.1	10.1	8.5	0.51	18.3	36.3	0.251
0.245	0.464	0.561	51	52.8	8.8	8	0.534	13.9	27.9	0.184
0.328	0.398	0.548	47.4	44.6	10	7.2	0.509	14.4	22.9	0.25
0.39	0.393	0.569	52	59.1	9.2	5.8	0.541	16.4	26.5	0.265
0.355	0.387	0.547	54.1	55.3	8.4	7.8	0.508	17	30.4	0.262
0.224	0.369	0.494	47.1	44.1	7.8	8.4	0.465	14.3	20.4	0.164
0.346	0.358	0.521	51.9	51.2	10	15	0.478	16.8	34.1	0.257
0.328	0.47	0.488	47.4	42	8.9	7.8	0.46	17.1	23.5	0.209
0.269	0.393	0.531	47.8	56.8	10	8.5	0.504	15.4	24.8	0.188
0.29	0.426	0.58	48.5	56.5	9.3	6.6	0.553	13.9	23.6	0.214
0.274	0.397	0.53	51.2	52	6.9	8	0.506	16.5	20.7	0.185
0.315	0.445	0.569	50.4	55.9	8.2	7.7	0.534	14.7	24.7	0.24
0.339	0.39	0.619	52.5	60.3	8.3	9.2	0.597	15.8	26.4	0.244
0.33	0.397	0.511	46.9	41.9	9.1	6.2	0.478	17.1	25.6	0.226
0.32	0.384	0.585	50.6	48.6	7.7	9	0.552	16.7	24.1	0.244
0.362	0.291	0.525	48.3	45.1	8.1	7	0.491	17.4	20.8	0.25
0.333	0.303	0.511	50.2	51.8	11.2	15	0.483	17.5	30.9	0.217
0.321	0.441	0.51	49.5	44.5	8.1	8.2	0.462	16.5	30.8	0.251
0.3	0.372	0.511	52.6	47.5	8.2	6.5	0.481	14.5	35.7	0.207
0.305	0.381	0.553	51.4	59.4	8.1	11.6	0.524	17	23.5	0.218
0.285	0.371	0.534	51.8	57.9	8.3	7	0.506	18.6	30.4	0.199
0.356	0.315	0.559	53.8	52.1	11.2	13.6	0.526	15.2	34.8	0.256
0.328	0.431	0.542	49.8	56.5	10.1	14.8	0.512	16	29.2	0.231
0.368	0.328	0.511	50.3	57.2	9.1	9.2	0.467	17.1	27.3	0.265
0.367	0.387	0.568	53.4	51.2	12.1	11	0.541	15.2	32.7	0.253
0.298	0.324	0.536	50.4	50.4	10.7	11.5	0.513	15.3	29.2	0.197
0.319	0.401	0.513	45.2	46.3	12.2	5.5	0.476	16.1	25.7	0.231
0.425	0.372	0.509	48.9	42.6	14.5	11.9	0.479	18.6	27.8	0.267
0.287	0.416	0.556	50.9	59.6	9.5	8.7	0.532	15	28.3	0.199
0.273	0.491	0.536	48.2	57	6.8	6	0.505	15.1	23.4	0.201
0.322	0.424	0.527	46.6	52.5	6.8	5.7	0.49	16.6	20.3	0.235
0.352	0.291	0.478	51.9	42.2	7.9	8.3	0.436	18.4	30.1	0.245
0.295	0.357	0.546	48.3	45.2	9.1	9.4	0.516	16.4	26.8	0.213
0.387	0.238	0.487	48.6	41	10.3	5.2	0.454	18.1	31.2	0.246
0.271	0.421	0.523	51.2	47.2	10.1	5.9	0.495	16.5	29	0.191
0.231	0.416	0.5	49.2	55.8	9	12.4	0.476	20	28	0.159
0.287	0.418	0.546	47.8	51.9	11.9	15.8	0.527	17.9	29.7	0.187
0.301	0.354	0.553	51.9	48.5	12.5	15.9	0.519	16.3	33.4	0.226
0.34	0.368	0.555	52.4	46.5	8.6	11.1	0.521	15.5	31.1	0.246
0.268	0.416	0.474	46.9	54.6	10.8	9	0.446	16.9	21.5	0.176
0.305	0.49	0.532	52	52.2	7.4	11.1	0.502	16.4	30.5	0.214
0.302	0.463	0.579	47.8	53.9	11.8	8.5	0.556	14.7	23.6	0.212
0.354	0.39	0.549	49.7	54.1	9.1	13.7	0.518	15.9	27.6	0.245
0.34	0.348	0.511	52.1	45.8	9.2	13.3	0.475	17.3	32.9	0.237
0.332	0.422	0.525	48.3	52.2	7.8	10.3	0.492	17.2	23.1	0.232
